ticker,debtToEquity(%),currentRatio(%),ROE(%),Runway(Years),TotalCash(M$),FreeCashflow(M$),OperatingCashflow(M$),NetIncome(M$),PBR,BPS($),lastUpdated
GPN,69.198,85.5,7.23,inf,2603.05,2422.78,3499.92,1636.07,0.77,95.8,2026-01-20 21:24:56
Z,7.352,362.8,-0.66,inf,1398.0,161.62,418.0,-32.0,3.32,20.62,2026-01-20 21:24:57
BLK,24.32,,10.69,,12598.0,,,5553.0,3.25,357.9,2026-01-20 21:24:58
JPM,,,16.13,,1482637.05,,,55681.0,2.46,126.99,2026-01-20 21:24:59
COF,,,1.62,,56923.0,,22335.0,1151.0,1.4,170.52,2026-01-20 21:25:00
MS,420.553,,15.73,,570777.01,,,16249.0,3.0,62.98,2026-01-20 21:25:01
GS,528.8,279.5,13.88,,821000.01,,,16300.0,2.69,357.46,2026-01-20 21:25:01
BAC,,,10.19,,963731.98,,,29055.0,1.38,38.44,2026-01-20 21:25:02
C,,,6.83,,1242913.05,,,13024.0,1.07,110.01,2026-01-20 21:25:03
HSBC,,,9.29,,1096757.02,,,16580.0,8.31,9.94,2026-01-20 21:25:04
BX,65.942,100.4,26.46,,2554.53,,3756.77,2707.89,15.25,10.72,2026-01-20 21:25:05
CME,13.372,102.1,13.35,inf,2570.0,2836.38,4161.1,3716.7,3.57,78.34,2026-01-20 21:25:06
BK,,,12.9,,190685.0,,,5306.0,2.12,57.36,2026-01-20 21:25:07
CB,30.958,38.0,13.64,inf,6621.0,12573.88,13321.0,9675.0,1.65,182.22,2026-01-20 21:25:07
LVMUY,59.372,147.5,16.96,inf,12332.0,13216.25,19521.0,10981.0,0.93,152.7,2026-01-20 21:25:08
RACE,75.936,245.2,45.04,inf,1381.0,866.48,2325.17,1601.45,14.0,24.66,2026-01-20 21:25:09
WSM,70.88,142.7,56.92,inf,884.66,930.35,1351.44,1131.13,12.31,17.18,2026-01-20 21:25:10
TPR,1051.139,152.5,16.05,inf,743.2,867.64,1209.7,271.4,67.3,1.94,2026-01-20 21:25:11
EL,242.211,132.1,-20.73,inf,2219.0,1587.5,1602.0,-930.0,10.66,10.79,2026-01-20 21:25:12
LULU,39.156,213.0,41.02,inf,1035.86,884.95,1861.0,1740.72,5.29,38.18,2026-01-20 21:25:13
CFR,,,14.82,,8074.85,,157.55,624.39,2.05,67.64,2026-01-20 21:25:14
OR,0.378,437.3,11.26,inf,105.88,63.6,211.82,147.95,5.55,7.42,2026-01-20 21:25:14
BC,143.473,177.6,-12.31,inf,298.5,615.28,735.6,-225.7,3.53,25.1,2026-01-20 21:25:15
RL,111.231,204.0,34.01,inf,1645.5,512.96,1089.9,854.3,8.53,42.54,2026-01-20 21:25:16
CPRI,,125.2,-170.06,inf,120.0,143.75,88.0,-1206.0,-40.0,-0.62,2026-01-20 21:25:17
GOOS,182.008,189.1,7.05,inf,94.2,203.75,227.6,26.4,4.1,3.14,2026-01-20 21:25:18
UNH,75.734,82.3,17.48,inf,30614.0,17768.75,20958.0,17589.0,3.13,105.72,2026-01-20 21:25:19
NTRA,15.87,327.4,-29.02,inf,1042.44,180.67,194.3,-309.19,25.4,9.11,2026-01-20 21:25:20
JNJ,57.766,107.4,33.62,inf,18562.0,12009.0,24204.0,25119.0,6.64,32.95,2026-01-20 21:25:20
TMO,69.75,149.8,13.12,inf,3546.0,4696.75,7651.0,6570.0,4.56,135.79,2026-01-20 21:25:21
ABT,25.31,170.3,30.62,inf,7733.0,6067.87,9119.0,13926.0,4.16,29.3,2026-01-20 21:25:22
ISRG,,472.8,16.9,inf,4908.8,1966.41,2960.6,2746.9,11.22,47.7,2026-01-20 21:25:23
CVS,111.821,83.2,0.58,inf,11232.0,6976.63,9109.0,469.0,1.37,57.42,2026-01-20 21:25:24
BSX,50.973,150.8,12.49,inf,1275.0,3065.13,4626.0,2791.0,5.58,15.78,2026-01-20 21:25:25
PFE,66.531,128.2,10.6,inf,14986.0,14302.75,13077.0,9797.0,1.57,16.32,2026-01-20 21:25:26
MRK,79.708,166.1,39.49,inf,18214.0,14527.88,17065.0,19034.0,5.22,20.84,2026-01-20 21:25:27
MRNA,7.867,392.5,-29.32,2.27,4504.0,-1984.38,-1978.0,-3116.0,1.75,23.86,2026-01-20 21:25:27
LLY,178.516,154.6,96.47,inf,9913.5,1397.92,16062.2,18412.1,39.1,26.56,2026-01-20 21:25:28
XYL,18.253,195.7,8.55,inf,1191.0,960.0,1273.0,948.0,3.18,46.02,2026-01-20 21:25:29
ECL,103.915,169.7,21.87,inf,1402.4,1397.55,2629.2,1984.6,11.81,23.46,2026-01-20 21:25:30
AWK,140.983,42.1,10.46,0.17,245.0,-1447.25,2035.0,1112.0,2.39,55.9,2026-01-20 21:25:31
DD,39.673,200.2,3.22,1.79,1955.0,-1093.12,1900.0,726.0,0.78,54.66,2026-01-20 21:25:32
NSRGY,225.855,71.4,33.76,inf,5515.0,5756.87,14577.0,10305.0,6.69,14.02,2026-01-20 21:25:33
NTR,56.375,140.9,7.32,inf,624.0,1911.25,4153.0,1809.0,1.28,51.86,2026-01-20 21:25:33
TSN,53.19,155.2,2.76,inf,1229.0,1187.5,2155.0,474.0,1.17,51.23,2026-01-20 21:25:34
CTVA,17.175,157.8,6.71,inf,2586.0,2547.75,3204.0,1681.0,1.87,37.27,2026-01-20 21:25:35
BG,102.816,166.0,9.76,0.41,3163.0,-7760.63,550.0,1326.0,1.32,81.53,2026-01-20 21:25:36
ADM,40.467,137.2,5.24,inf,1235.0,2467.62,6087.0,1189.0,1.39,46.86,2026-01-20 21:25:37
